Alewife,163,113
Davis,187,113
Porter Square,220,118
Harvard Square,241,140
Central Square,259,159
Kendall/MIT,281,180
Charles/MGH,300,199
Park Street,314,213
Downtown Crossing,333,233
South Station,356,254
Broadway,361,282
Andrew,361,303
JFK/UMass,361,325
Savin Hill,348,341
Fields Corner,334,360
Shawmut,334,373
Ashmont,334,388
Cedar Grove,333,411
Butler,324,419
Milton,309,420
Central Avenue,294,419
Valley Road,278,419
Capen Street,262,420
Mattapan,248,420
North Quincy,409,412
Wollaston,429,431
Quincy Center,448,451
Quincy Adams,467,470
Braintree,473,513
Oak Grove,334,47
Malden Center,334,65
Wellington,334,85
Sullivan Square,334,107
Community College,334,130
North Station,338,155
Haymarket,354,178
State,353,214
Downtown Crossing,334,234
Chinatown,317,251
New England Medical Center,305,262
Back Bay,294,273
Massachusetts Avenue,285,283
Ruggles,275,291
Roxbury Crossing,265,301
Jackson Square,255,311
Stony Brook,245,321
Green Street,236,330
Forest Hills,226,340
Lechmere,304,131
Science Park,323,149
North Station,333,159
Haymarket,346,177
Government Center,334,194
Park Street,315,214
Boylston,300,228
Arlington,285,234
Copley,269,234
Hynes Convention Center,254,234
Kenmore,241,234
Blandford Street,231,225
Boston University East,227,221
Boston University Central,223,217
Boston University West,219,213
St. Paul Street (1),214,208
Pleasant Street,209,204
Babcock Street,203,203
Packards Corner,197,203
Harvard Avenue,179,203
Griggs Street/Long Avenue,173,207
Allston Street,168,210
Warren Street,165,214
Washington Street,156,222
Sutherland Street,151,225
Chiswick Road,145,226
Chestnut Hill Avenue,139,226
South Street,134,221
Boston College,120,206
St. Marys Street,218,234
Hawes Street,212,234
Kent Street,206,234
St. Paul Street (2),201,234
Coolidge Corner,195,234
Summit Avenue,189,234
Brandon Hall,183,234
Fairbanks,178,234
Washington Square,172,234
Tappan Street,166,233
Dean Road,161,234
Englewood Avenue,155,234
Cleveland Circle,147,234
Fenway,217,244
Longwood,204,256
Brookline Village,193,268
Brookline Hills,170,268
Beaconsfield,154,251
Reservoir,140,241
Chestnut Hill,126,237
Newton Center,113,237
Newton Highlands,101,237
Eliot,88,237
Waban,75,237
Woodland,62,237
Riverside,43,238
Prudential,255,262
Symphony,250,266
Northeastern University,245,270
Museum of Fine Arts,241,274
Longwood Medical Area,237,278
Brigham Circle,233,282
Fenwood Street,228,287
Mission Park,226,292
Riverway,226,298
Back of the Hill,226,303
Heath Street,226,311
Wonderland,506,60
Revere Beach,489,76
Beachmont,475,91
Suffolk Downs,460,106
Orient Heights,446,121
Wood Island,431,135
Airport,418,149
Maverick,403,164
Aquarium,371,195
State,353,214
Government Center,334,194
Bowdoin,320,180
